,i1,i2,i3,k1,k2,k3,weight
0,0,0,0,1.000000000000000021e-03,1.000000000000000021e-03,1.000000000000000021e-03,1.921873844435967272e-03
1,1,1,1,2.507499999999999729e-01,2.507499999999999729e-01,2.507499999999999729e-01,2.421234046732437251e-02
2,2,1,1,5.004999999999999449e-01,2.507499999999999729e-01,2.507499999999999729e-01,5.003700557658729425e-02
3,2,2,0,5.004999999999999449e-01,5.004999999999999449e-01,1.000000000000000021e-03,6.962976966727098607e-03
4,2,2,1,5.004999999999999449e-01,5.004999999999999449e-01,2.507499999999999729e-01,2.741758920460169585e-02
5,2,2,2,5.004999999999999449e-01,5.004999999999999449e-01,5.004999999999999449e-01,1.137907339546107444e-03
6,3,2,2,7.502499999999999725e-01,5.004999999999999449e-01,5.004999999999999449e-01,8.032364796958667286e-02
7,3,3,0,7.502499999999999725e-01,7.502499999999999725e-01,1.000000000000000021e-03,9.311813753212336633e-03
8,3,3,1,7.502499999999999725e-01,7.502499999999999725e-01,2.507499999999999729e-01,1.313225660128205519e-01
9,3,3,3,7.502499999999999725e-01,7.502499999999999725e-01,7.502499999999999725e-01,6.778794675127558511e-02
10,4,2,2,1.000000000000000000e+00,5.004999999999999449e-01,5.004999999999999449e-01,2.361365806307485007e-02
11,4,3,2,1.000000000000000000e+00,7.502499999999999725e-01,5.004999999999999449e-01,4.160475922499488194e-02
12,4,4,0,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000021e-03,7.841809470316926396e-04
13,4,4,1,1.000000000000000000e+00,1.000000000000000000e+00,2.507499999999999729e-01,1.757169002909525490e-02
14,4,4,3,1.000000000000000000e+00,1.000000000000000000e+00,7.502499999999999725e-01,1.587704324796731029e-02
