,i1,i2,i3,k1,k2,k3,weight
0,0,0,0,1.000000000000000021e-03,1.000000000000000021e-03,1.000000000000000021e-03,6.594084483395953849e-06
1,1,0,0,4.640909090909090678e-02,1.000000000000000021e-03,1.000000000000000021e-03,6.652804008729150733e-06
2,1,1,0,4.640909090909090678e-02,4.640909090909090678e-02,1.000000000000000021e-03,6.319854819759945710e-05
3,1,1,1,4.640909090909090678e-02,4.640909090909090678e-02,4.640909090909090678e-02,8.852540189806048262e-05
4,2,1,0,9.181818181818181268e-02,4.640909090909090678e-02,1.000000000000000021e-03,1.322021482295341928e-05
5,2,1,1,9.181818181818181268e-02,4.640909090909090678e-02,4.640909090909090678e-02,1.453434305273038107e-04
6,2,2,0,9.181818181818181268e-02,9.181818181818181268e-02,1.000000000000000021e-03,6.311357635109378036e-05
7,2,2,1,9.181818181818181268e-02,9.181818181818181268e-02,4.640909090909090678e-02,2.706624378418786029e-04
8,2,2,2,9.181818181818181268e-02,9.181818181818181268e-02,9.181818181818181268e-02,9.363288871149512925e-05
9,3,1,1,1.372272727272727255e-01,4.640909090909090678e-02,4.640909090909090678e-02,6.623028750118896585e-06
10,3,2,0,1.372272727272727255e-01,9.181818181818181268e-02,1.000000000000000021e-03,1.340251805727469762e-05
11,3,2,1,1.372272727272727255e-01,9.181818181818181268e-02,4.640909090909090678e-02,2.900627042184568253e-04
12,3,2,2,1.372272727272727255e-01,9.181818181818181268e-02,9.181818181818181268e-02,2.757526025709015807e-04
13,3,3,0,1.372272727272727255e-01,1.372272727272727255e-01,1.000000000000000021e-03,6.299602025931644593e-05
14,3,3,1,1.372272727272727255e-01,1.372272727272727255e-01,4.640909090909090678e-02,2.705916513780125482e-04
15,3,3,2,1.372272727272727255e-01,1.372272727272727255e-01,9.181818181818181268e-02,2.808986661344852116e-04
16,3,3,3,1.372272727272727255e-01,1.372272727272727255e-01,1.372272727272727255e-01,9.363288871149504794e-05
17,4,2,1,1.826363636363636245e-01,9.181818181818181268e-02,4.640909090909090678e-02,1.320055191632400613e-05
18,4,2,2,1.826363636363636245e-01,9.181818181818181268e-02,9.181818181818181268e-02,1.453097226873676729e-04
19,4,3,0,1.826363636363636245e-01,1.372272727272727255e-01,1.000000000000000021e-03,1.325813614288156413e-05
20,4,3,1,1.826363636363636245e-01,1.372272727272727255e-01,4.640909090909090678e-02,2.905211308415881800e-04
21,4,3,2,1.826363636363636245e-01,1.372272727272727255e-01,9.181818181818181268e-02,5.516709353548222231e-04
22,4,3,3,1.826363636363636245e-01,1.372272727272727255e-01,1.372272727272727255e-01,2.808986661344851574e-04
23,4,4,0,1.826363636363636245e-01,1.826363636363636245e-01,1.000000000000000021e-03,6.314222801503945276e-05
24,4,4,1,1.826363636363636245e-01,1.826363636363636245e-01,4.640909090909090678e-02,2.706014828313272540e-04
